39575	d.68.2.2	d1a2na_	1a2n	A	[]	PF00275
41816	d.153.1.1	d1ao0a2	1ao0	A	['1-234']	PF13522
34050	c.61.1.1	d1ao0b1	1ao0	B	['235-459']	PF13522
41817	d.153.1.1	d1ao0b2	1ao0	B	['1-234']	PF13522
34051	c.61.1.1	d1ao0c1	1ao0	C	['235-459']	PF13522
41818	d.153.1.1	d1ao0c2	1ao0	C	['1-234']	PF13522
34052	c.61.1.1	d1ao0d1	1ao0	D	['235-459']	PF13522
41819	d.153.1.1	d1ao0d2	1ao0	D	['1-234']	PF13522
34134	c.62.1.1	d1ao3a_	1ao3	A	[]	PF00092
34135	c.62.1.1	d1ao3b_	1ao3	B	[]	PF00092
26334	b.47.1.2	d1ao5a_	1ao5	A	[]	PF00089
26335	b.47.1.2	d1ao5b_	1ao5	B	[]	PF00089
19354	a.126.1.1	d1ao6a1	1ao6	A	['5-196']	PF00273
19355	a.126.1.1	d1ao6a2	1ao6	A	['197-388']	PF00273
19356	a.126.1.1	d1ao6a3	1ao6	A	['389-582']	PF00273
19357	a.126.1.1	d1ao6b1	1ao6	B	['5-196']	PF00273
19358	a.126.1.1	d1ao6b2	1ao6	B	['197-388']	PF00273
19359	a.126.1.1	d1ao6b3	1ao6	B	['389-582']	PF00273
20696	b.1.1.2	d1ao7a1	1ao7	A	['182-274']	PF00129
38237	d.19.1.1	d1ao7a2	1ao7	A	['1-181']	PF00129
20697	b.1.1.2	d1ao7b2	1ao7	B	['1-99']	PF07654
20623	b.1.1.1	d1ao7d_	1ao7	D	[]	PF09291
20646	b.1.1.1	d1ao7e1	1ao7	E	['3-118']	PF07686
21575	b.1.1.2	d1ao7e2	1ao7	E	['119-246']	PF07686
17396	a.40.1.1	d1aoaa1	1aoa	A	['121-251']	PF00307
17397	a.40.1.1	d1aoaa2	1aoa	A	['260-375']	PF00307
40969	d.117.1.1	d1aoba_	1aob	A	[]	PF00303
29615	c.1.18.2	d1aoda_	1aod	A	[]	PF00388
34923	c.71.1.1	d1aoea_	1aoe	A	[]	PF00186
34924	c.71.1.1	d1aoeb_	1aoe	B	[]	PF00186
15937	a.3.1.2	d1aofa1	1aof	A	['36-133']	PF13442
27696	b.70.2.1	d1aofa2	1aof	A	['134-567']	PF13442
15938	a.3.1.2	d1aofb1	1aof	B	['26-133']	PF13442
27697	b.70.2.1	d1aofb2	1aof	B	['134-567']	PF13442
30518	c.3.1.5	d1aoga2	1aog	A	['170-286']	PF07992
30517	c.3.1.5	d1aoga1	1aog	A	['3-169', '287-357']	PF07992
40190	d.87.1.1	d1aoga3	1aog	A	['358-487']	PF07992
30520	c.3.1.5	d1aogb2	1aog	B	['170-286']	PF07992
30519	c.3.1.5	d1aogb1	1aog	B	['5-169', '287-357']	PF07992
40191	d.87.1.1	d1aogb3	1aog	B	['358-487']	PF07992
22401	b.2.2.2	d1aoha_	1aoh	A	[]	PF00963
22402	b.2.2.2	d1aohb1	1aoh	B	['2-147']	PF00963
16470	a.22.1.1	d1aoib_	1aoi	B	[]	PF15511
16471	a.22.1.1	d1aoif_	1aoi	F	[]	PF15511
24555	b.34.2.1	d1aoja_	1aoj	A	[]	PF00018
24556	b.34.2.1	d1aojb_	1aoj	B	[]	PF00018
19560	a.133.1.2	d1aoka_	1aok	A	[]	PF00068
19561	a.133.1.2	d1aokb_	1aok	B	[]	PF00068
27694	b.70.2.1	d1aoma1	1aom	A	['129-567']	PF13442
15936	a.3.1.2	d1aomb1	1aom	B	['9-133']	PF13442
27695	b.70.2.1	d1aomb2	1aom	B	['134-567']	PF13442
19473	a.129.1.1	d1aona1	1aon	A	['2-136', '410-525']	PF00118
30802	c.8.5.1	d1aona2	1aon	A	['191-366']	PF00118
38921	d.56.1.1	d1aona3	1aon	A	['137-190', '367-409']	PF00118
19474	a.129.1.1	d1aonb1	1aon	B	['2-136', '410-525']	PF00118
30803	c.8.5.1	d1aonb2	1aon	B	['191-366']	PF00118
38922	d.56.1.1	d1aonb3	1aon	B	['137-190', '367-409']	PF00118
19475	a.129.1.1	d1aonc1	1aon	C	['2-136', '410-525']	PF00118
30804	c.8.5.1	d1aonc2	1aon	C	['191-366']	PF00118
38923	d.56.1.1	d1aonc3	1aon	C	['137-190', '367-409']	PF00118
19476	a.129.1.1	d1aond1	1aon	D	['2-136', '410-525']	PF00118
30805	c.8.5.1	d1aond2	1aon	D	['191-366']	PF00118
38924	d.56.1.1	d1aond3	1aon	D	['137-190', '367-409']	PF00118
19477	a.129.1.1	d1aone1	1aon	E	['2-136', '410-525']	PF00118
30806	c.8.5.1	d1aone2	1aon	E	['191-366']	PF00118
38925	d.56.1.1	d1aone3	1aon	E	['137-190', '367-409']	PF00118
19478	a.129.1.1	d1aonf1	1aon	F	['2-136', '410-525']	PF00118
30807	c.8.5.1	d1aonf2	1aon	F	['191-366']	PF00118
38926	d.56.1.1	d1aonf3	1aon	F	['137-190', '367-409']	PF00118
19479	a.129.1.1	d1aong1	1aon	G	['2-136', '410-525']	PF00118
30808	c.8.5.1	d1aong2	1aon	G	['191-366']	PF00118
38927	d.56.1.1	d1aong3	1aon	G	['137-190', '367-409']	PF00118
19480	a.129.1.1	d1aonh1	1aon	H	['2-136', '410-525']	PF00118
30809	c.8.5.1	d1aonh2	1aon	H	['191-366']	PF00118
38928	d.56.1.1	d1aonh3	1aon	H	['137-190', '367-409']	PF00118
19481	a.129.1.1	d1aoni1	1aon	I	['2-136', '410-525']	PF00118
30810	c.8.5.1	d1aoni2	1aon	I	['191-366']	PF00118
38929	d.56.1.1	d1aoni3	1aon	I	['137-190', '367-409']	PF00118
19482	a.129.1.1	d1aonj1	1aon	J	['2-136', '410-525']	PF00118
30811	c.8.5.1	d1aonj2	1aon	J	['191-366']	PF00118
38930	d.56.1.1	d1aonj3	1aon	J	['137-190', '367-409']	PF00118
19483	a.129.1.1	d1aonk1	1aon	K	['2-136', '410-525']	PF00118
30812	c.8.5.1	d1aonk2	1aon	K	['191-366']	PF00118
38931	d.56.1.1	d1aonk3	1aon	K	['137-190', '367-409']	PF00118
19484	a.129.1.1	d1aonl1	1aon	L	['2-136', '410-525']	PF00118
30813	c.8.5.1	d1aonl2	1aon	L	['191-366']	PF00118
38932	d.56.1.1	d1aonl3	1aon	L	['137-190', '367-409']	PF00118
19485	a.129.1.1	d1aonm1	1aon	M	['2-136', '410-525']	PF00118
30814	c.8.5.1	d1aonm2	1aon	M	['191-366']	PF00118
38933	d.56.1.1	d1aonm3	1aon	M	['137-190', '367-409']	PF00118
19486	a.129.1.1	d1aonn1	1aon	N	['2-136', '410-525']	PF00118
30815	c.8.5.1	d1aonn2	1aon	N	['191-366']	PF00118
38934	d.56.1.1	d1aonn3	1aon	N	['137-190', '367-409']	PF00118
24642	b.35.1.1	d1aono_	1aon	O	[]	PF00166
24643	b.35.1.1	d1aonp_	1aon	P	[]	PF00166
24644	b.35.1.1	d1aonq_	1aon	Q	[]	PF00166
24645	b.35.1.1	d1aonr_	1aon	R	[]	PF00166
24646	b.35.1.1	d1aons_	1aon	S	[]	PF00166
24647	b.35.1.1	d1aont_	1aon	T	[]	PF00166
24648	b.35.1.1	d1aonu_	1aon	U	[]	PF00166
39501	d.58.36.1	d1aopa1	1aop	A	['81-145']	PF01077
39502	d.58.36.1	d1aopa2	1aop	A	['346-425']	PF01077
41425	d.134.1.1	d1aopa3	1aop	A	['149-345']	PF01077
41426	d.134.1.1	d1aopa4	1aop	A	['426-570']	PF01077
15934	a.3.1.2	d1aoqa1	1aoq	A	['17-133']	PF13442
27692	b.70.2.1	d1aoqa2	1aoq	A	['134-567']	PF13442
15935	a.3.1.2	d1aoqb1	1aoq	B	['9-133']	PF13442
27693	b.70.2.1	d1aoqb2	1aoq	B	['134-567']	PF13442
19042	a.110.1.1	d1aora1	1aor	A	['211-605']	PF02730
41794	d.152.1.1	d1aora2	1aor	A	['1-210']	PF02730
19043	a.110.1.1	d1aorb1	1aor	B	['211-605']	PF02730
41795	d.152.1.1	d1aorb2	1aor	B	['1-210']	PF02730
19414	a.127.1.1	d1aosa_	1aos	A	[]	PF00206
19415	a.127.1.1	d1aosb_	1aos	B	[]	PF00206
40458	d.93.1.1	d1aotf_	1aot	F	[]	PF00017
40459	d.93.1.1	d1aouf_	1aou	F	[]	PF00017
35878	c.94.1.2	d1aova1	1aov	A	['1-334']	PF00405
35879	c.94.1.2	d1aova2	1aov	A	['335-686']	PF00405
18152	a.65.1.1	d1aowa_	1aow	A	[]	PF00191
34151	c.62.1.1	d1aoxa_	1aox	A	[]	PF00092
34152	c.62.1.1	d1aoxb_	1aox	B	[]	PF00092
16087	a.4.5.3	d1aoya_	1aoy	A	[]	PF01316
23126	b.6.1.3	d1aoza3	1aoz	A	['339-552']	PF07732
23125	b.6.1.3	d1aoza2	1aoz	A	['130-338']	PF07732
23124	b.6.1.3	d1aoza1	1aoz	A	['1-129']	PF07732
23129	b.6.1.3	d1aozb3	1aoz	B	['339-552']	PF07732
23128	b.6.1.3	d1aozb2	1aoz	B	['130-338']	PF07732
23127	b.6.1.3	d1aozb1	1aoz	B	['1-129']	PF07732
37475	b.34.13.2	d1ap0a_	1ap0	A	[]	PF00385
17253	a.39.1.5	d1ap4a_	1ap4	A	[]	PF13833
15750	a.2.11.1	d1ap5a1	1ap5	A	['1-83']	PF00081
38709	d.44.1.1	d1ap5a2	1ap5	A	['84-198']	PF00081
15751	a.2.11.1	d1ap5b1	1ap5	B	['1-83']	PF00081
38710	d.44.1.1	d1ap5b2	1ap5	B	['84-198']	PF00081
15746	a.2.11.1	d1ap6a1	1ap6	A	['1-83']	PF00081
38705	d.44.1.1	d1ap6a2	1ap6	A	['84-198']	PF00081
15747	a.2.11.1	d1ap6b1	1ap6	B	['1-83']	PF00081
38706	d.44.1.1	d1ap6b2	1ap6	B	['84-198']	PF00081
19170	d.211.1.1	d1ap7a_	1ap7	A	[]	PF12796
40151	d.86.1.1	d1ap8a_	1ap8	A	[]	PF01652
42205	d.165.1.1	d1apaa_	1apa	A	[]	PF00161
35653	c.93.1.1	d1apba_	1apb	A	[]	PF00532
16543	a.24.3.1	d1apca_	1apc	A	[]	PF07361
15987	a.4.1.1	d1aplc_	1apl	C	[]	PF00046
15988	a.4.1.1	d1apld_	1apl	D	[]	PF00046
41628	d.144.1.7	d1apme_	1apm	E	[]	PF00069
39299	d.58.10.1	d1apsa_	1aps	A	[]	PF00708
26818	b.50.1.2	d1apte_	1apt	E	[]	PF00026
26813	b.50.1.2	d1apue_	1apu	E	[]	PF00026
26814	b.50.1.2	d1apve_	1apv	E	[]	PF00026
26817	b.50.1.2	d1apwe_	1apw	E	[]	PF00026
18669	a.93.1.1	d1apxa_	1apx	A	[]	PF00141
18670	a.93.1.1	d1apxb_	1apx	B	[]	PF00141
18671	a.93.1.1	d1apxc_	1apx	C	[]	PF00141
18672	a.93.1.1	d1apxd_	1apx	D	[]	PF00141
28842	c.1.8.3	d1aq0a_	1aq0	A	[]	PF00332
28843	c.1.8.3	d1aq0b_	1aq0	B	[]	PF00332
41599	d.144.1.7	d1aq1a_	1aq1	A	[]	PF00069
64716	c.91.1.1	d1aq2a1	1aq2	A	['228-540']	PF01293
64717	c.109.1.1	d1aq2a2	1aq2	A	['4-227']	PF01293
40079	d.85.1.1	d1aq3a_	1aq3	A	[]	PF01819
40080	d.85.1.1	d1aq3b_	1aq3	B	[]	PF01819
40081	d.85.1.1	d1aq3c_	1aq3	C	[]	PF01819
40091	d.85.1.1	d1aq4a_	1aq4	A	[]	PF01819
40092	d.85.1.1	d1aq4b_	1aq4	B	[]	PF01819
40093	d.85.1.1	d1aq4c_	1aq4	C	[]	PF01819
43331	c.108.1.1	d1aq6a_	1aq6	A	[]	PF00702
43332	c.108.1.1	d1aq6b_	1aq6	B	[]	PF00702
25874	b.47.1.2	d1aq7a_	1aq7	A	[]	PF00089
23097	b.6.1.3	d1aq8a2	1aq8	A	['167-339']	PF07732
23096	b.6.1.3	d1aq8a1	1aq8	A	['9-166']	PF07732
23099	b.6.1.3	d1aq8b2	1aq8	B	['167-339']	PF07732
23098	b.6.1.3	d1aq8b1	1aq8	B	['9-166']	PF07732
23101	b.6.1.3	d1aq8c2	1aq8	C	['167-339']	PF07732
23100	b.6.1.3	d1aq8c1	1aq8	C	['9-166']	PF07732
41075	d.120.1.1	d1aqaa_	1aqa	A	[]	PF00173
27084	b.60.1.1	d1aqba_	1aqb	A	[]	PF00061
26983	b.55.1.2	d1aqca_	1aqc	A	[]	PF00640
26984	b.55.1.2	d1aqcb_	1aqc	B	[]	PF00640
21585	b.1.1.2	d1aqda1	1aqd	A	['82-181']	PF00993
38159	d.19.1.1	d1aqda2	1aqd	A	['3-81']	PF00993
21586	b.1.1.2	d1aqdb1	1aqd	B	['93-190']	PF00969
38160	d.19.1.1	d1aqdb2	1aqd	B	['4-92']	PF00969
21587	b.1.1.2	d1aqdd1	1aqd	D	['82-179']	PF00993
38161	d.19.1.1	d1aqdd2	1aqd	D	['3-81']	PF00993
21588	b.1.1.2	d1aqde1	1aqd	E	['93-190']	PF00969
38162	d.19.1.1	d1aqde2	1aqd	E	['4-92']	PF00969
21589	b.1.1.2	d1aqdg1	1aqd	G	['82-179']	PF00993
38163	d.19.1.1	d1aqdg2	1aqd	G	['3-81']	PF00993
21590	b.1.1.2	d1aqdh1	1aqd	H	['93-190']	PF00969
38164	d.19.1.1	d1aqdh2	1aqd	H	['4-92']	PF00969
21591	b.1.1.2	d1aqdj1	1aqd	J	['82-179']	PF00993
38165	d.19.1.1	d1aqdj2	1aqd	J	['3-81']	PF00993
21592	b.1.1.2	d1aqdk1	1aqd	K	['93-191']	PF00969
38166	d.19.1.1	d1aqdk2	1aqd	K	['4-92']	PF00969
19650	a.138.1.1	d1aqea_	1aqe	A	[]	PF02085
27043	b.58.1.1	d1aqfa1	1aqf	A	['116-217']	PF00224
29272	c.1.12.1	d1aqfa2	1aqf	A	['12-115', '218-395']	PF00224
33126	c.49.1.1	d1aqfa3	1aqf	A	['396-530']	PF00224
27044	b.58.1.1	d1aqfb1	1aqf	B	['116-217']	PF00224
29273	c.1.12.1	d1aqfb2	1aqf	B	['12-115', '218-395']	PF00224
33127	c.49.1.1	d1aqfb3	1aqf	B	['396-530']	PF00224
27045	b.58.1.1	d1aqfc1	1aqf	C	['116-217']	PF00224
29274	c.1.12.1	d1aqfc2	1aqf	C	['12-115', '218-395']	PF00224
33128	c.49.1.1	d1aqfc3	1aqf	C	['396-530']	PF00224
27046	b.58.1.1	d1aqfd1	1aqf	D	['116-217']	PF00224
29275	c.1.12.1	d1aqfd2	1aqf	D	['12-115', '218-395']	PF00224
33129	c.49.1.1	d1aqfd3	1aqf	D	['396-530']	PF00224
27047	b.58.1.1	d1aqfe1	1aqf	E	['116-217']	PF00224
29276	c.1.12.1	d1aqfe2	1aqf	E	['12-115', '218-395']	PF00224
33130	c.49.1.1	d1aqfe3	1aqf	E	['396-530']	PF00224
27048	b.58.1.1	d1aqff1	1aqf	F	['116-217']	PF00224
29277	c.1.12.1	d1aqff2	1aqf	F	['12-115', '218-395']	PF00224
33131	c.49.1.1	d1aqff3	1aqf	F	['396-530']	PF00224
27049	b.58.1.1	d1aqfg1	1aqf	G	['116-217']	PF00224
29278	c.1.12.1	d1aqfg2	1aqf	G	['12-115', '218-395']	PF00224
33132	c.49.1.1	d1aqfg3	1aqf	G	['396-530']	PF00224
27050	b.58.1.1	d1aqfh1	1aqf	H	['116-217']	PF00224
29279	c.1.12.1	d1aqfh2	1aqf	H	['12-115', '218-395']	PF00224
33133	c.49.1.1	d1aqfh3	1aqf	H	['396-530']	PF00224
27718	b.71.1.1	d1aqha1	1aqh	A	['355-448']	PF00128
28705	c.1.8.1	d1aqha2	1aqh	A	['1-354']	PF00128
111559	c.66.1.27	d1aqia1	1aqi	A	['21-243']	PF07669
111560	d.287.1.1	d1aqia2	1aqi	A	['244-413']	PF07669
111561	c.66.1.27	d1aqib1	1aqi	B	['21-243']	PF07669
111562	d.287.1.1	d1aqib2	1aqi	B	['244-413']	PF07669
111563	c.66.1.27	d1aqja1	1aqj	A	['21-243']	PF07669
111564	d.287.1.1	d1aqja2	1aqj	A	['244-413']	PF07669
111565	c.66.1.27	d1aqjb1	1aqj	B	['21-243']	PF07669
111566	d.287.1.1	d1aqjb2	1aqj	B	['244-413']	PF07669
20193	b.1.1.1	d1aqkh1	1aqk	H	['1-123']	PF07654
21209	b.1.1.2	d1aqkh2	1aqk	H	['124-226']	PF07654
20192	b.1.1.1	d1aqkl1	1aqk	L	['1-111']	PF07654
21208	b.1.1.2	d1aqkl2	1aqk	L	['112-216']	PF07654
34627	c.69.1.1	d1aqla_	1aql	A	[]	PF00135
34628	c.69.1.1	d1aqlb_	1aql	B	[]	PF00135
27717	b.71.1.1	d1aqma1	1aqm	A	['355-448']	PF00128
28704	c.1.8.1	d1aqma2	1aqm	A	['1-354']	PF00128
32514	c.41.1.1	d1aqna_	1aqn	A	[]	PF00082
37235	d.5.1.1	d1aqpa_	1aqp	A	[]	PF00074
15718	a.2.10.1	d1aqta1	1aqt	A	['87-136']	PF02823
28435	b.93.1.1	d1aqta2	1aqt	A	['2-86']	PF02823
31942	c.37.1.5	d1aqua_	1aqu	A	[]	PF00685
31943	c.37.1.5	d1aqub_	1aqu	B	[]	PF00685
17532	a.45.1.1	d1aqva1	1aqv	A	['77-209']	PF02798
32826	c.47.1.5	d1aqva2	1aqv	A	['1-76']	PF02798
17533	a.45.1.1	d1aqvb1	1aqv	B	['77-209']	PF02798
32827	c.47.1.5	d1aqvb2	1aqv	B	['1-76']	PF02798
17517	a.45.1.1	d1aqwa1	1aqw	A	['77-209']	PF02798
32811	c.47.1.5	d1aqwa2	1aqw	A	['1-76']	PF02798
17518	a.45.1.1	d1aqwb1	1aqw	B	['77-209']	PF02798
32812	c.47.1.5	d1aqwb2	1aqw	B	['1-76']	PF02798
17519	a.45.1.1	d1aqwc1	1aqw	C	['77-209']	PF02798
32813	c.47.1.5	d1aqwc2	1aqw	C	['1-76']	PF02798
17520	a.45.1.1	d1aqwd1	1aqw	D	['77-209']	PF02798
32814	c.47.1.5	d1aqwd2	1aqw	D	['1-76']	PF02798
17562	a.45.1.1	d1aqxa1	1aqx	A	['77-209']	PF02798
32856	c.47.1.5	d1aqxa2	1aqx	A	['2-76']	PF02798
17563	a.45.1.1	d1aqxb1	1aqx	B	['77-209']	PF02798
32857	c.47.1.5	d1aqxb2	1aqx	B	['2-76']	PF02798
17564	a.45.1.1	d1aqxc1	1aqx	C	['77-209']	PF02798
32858	c.47.1.5	d1aqxc2	1aqx	C	['2-76']	PF02798
17565	a.45.1.1	d1aqxd1	1aqx	D	['77-209']	PF02798
32859	c.47.1.5	d1aqxd2	1aqx	D	['2-76']	PF02798
31944	c.37.1.5	d1aqya_	1aqy	A	[]	PF00685
31945	c.37.1.5	d1aqyb_	1aqy	B	[]	PF00685
38092	d.17.4.2	d1ar0a_	1ar0	A	[]	PF02136
38093	d.17.4.2	d1ar0b_	1ar0	B	[]	PF02136
23037	b.6.1.2	d1ar1b1	1ar1	B	['108-252']	PF02790
20207	b.1.1.1	d1ar1c_	1ar1	C	[]	PF07686
20206	b.1.1.1	d1ar1d_	1ar1	D	[]	PF07686
20522	b.1.1.1	d1ar2a_	1ar2	A	[]	PF07686
15788	a.2.11.1	d1ar4a1	1ar4	A	['1-86']	PF00081
38751	d.44.1.1	d1ar4a2	1ar4	A	['87-201']	PF00081
15789	a.2.11.1	d1ar4b1	1ar4	B	['1-86']	PF00081
38752	d.44.1.1	d1ar4b2	1ar4	B	['87-201']	PF00081
15786	a.2.11.1	d1ar5a1	1ar5	A	['1-86']	PF00081
38749	d.44.1.1	d1ar5a2	1ar5	A	['87-201']	PF00081
15787	a.2.11.1	d1ar5b1	1ar5	B	['1-86']	PF00081
38750	d.44.1.1	d1ar5b2	1ar5	B	['87-201']	PF00081
34302	c.67.1.1	d1arga_	1arg	A	[]	PF00155
34303	c.67.1.1	d1argb_	1arg	B	[]	PF00155
34321	c.67.1.1	d1arha_	1arh	A	[]	PF00155
34322	c.67.1.1	d1arhb_	1arh	B	[]	PF00155
34331	c.67.1.1	d1aria_	1ari	A	[]	PF00155
34332	c.67.1.1	d1arib_	1ari	B	[]	PF00155
24473	b.34.2.1	d1arka_	1ark	A	[]	PF14604
33812	c.56.5.1	d1arla_	1arl	A	[]	PF00246
33810	c.56.5.1	d1arma_	1arm	A	[]	PF00246
41063	d.118.1.1	d1arol_	1aro	L	[]	PF01510
18597	a.93.1.1	d1arpa_	1arp	A	[]	PF00141
17447	a.43.1.1	d1arqa_	1arq	A	[]	PF03869
17448	a.43.1.1	d1arqb_	1arq	B	[]	PF03869
17449	a.43.1.1	d1arra_	1arr	A	[]	PF03869
17450	a.43.1.1	d1arrb_	1arr	B	[]	PF03869
34287	c.67.1.1	d1arsa_	1ars	A	[]	PF00155
34285	c.67.1.1	d1arta_	1art	A	[]	PF00155
18589	a.93.1.1	d1arua_	1aru	A	[]	PF00141
18590	a.93.1.1	d1arva_	1arv	A	[]	PF00141
18591	a.93.1.1	d1arwa_	1arw	A	[]	PF00141
18595	a.93.1.1	d1arxa_	1arx	A	[]	PF00141
18596	a.93.1.1	d1arya_	1ary	A	[]	PF00141
30059	c.2.1.3	d1arza1	1arz	A	['4-130', '241-273']	PF01113
39974	d.81.1.3	d1arza2	1arz	A	['131-240']	PF01113
30060	c.2.1.3	d1arzb1	1arz	B	['5-130', '241-273']	PF01113
39975	d.81.1.3	d1arzb2	1arz	B	['131-240']	PF01113
30061	c.2.1.3	d1arzc1	1arz	C	['3-130', '241-273']	PF01113
39976	d.81.1.3	d1arzc2	1arz	C	['131-240']	PF01113
30062	c.2.1.3	d1arzd1	1arz	D	['3-130', '241-273']	PF01113
39977	d.81.1.3	d1arzd2	1arz	D	['131-240']	PF01113
18212	a.66.1.1	d1as0a1	1as0	A	['61-181']	PF00503
32095	c.37.1.8	d1as0a2	1as0	A	['32-60', '182-344']	PF00503
18227	a.66.1.1	d1as2a1	1as2	A	['61-181']	PF00503
32110	c.37.1.8	d1as2a2	1as2	A	['32-60', '182-346']	PF00503
18224	a.66.1.1	d1as3a1	1as3	A	['61-181']	PF00503
32107	c.37.1.8	d1as3a2	1as3	A	['9-60', '182-354']	PF00503
23091	b.6.1.3	d1as6a2	1as6	A	['167-339']	PF07732
23090	b.6.1.3	d1as6a1	1as6	A	['5-166']	PF07732
23093	b.6.1.3	d1as6b2	1as6	B	['167-339']	PF07732
23092	b.6.1.3	d1as6b1	1as6	B	['4-166']	PF07732
23095	b.6.1.3	d1as6c2	1as6	C	['167-339']	PF07732
23094	b.6.1.3	d1as6c1	1as6	C	['5-166']	PF07732
23103	b.6.1.3	d1as7a2	1as7	A	['167-340']	PF07732
23102	b.6.1.3	d1as7a1	1as7	A	['4-166']	PF07732
23105	b.6.1.3	d1as7b2	1as7	B	['167-340']	PF07732
23104	b.6.1.3	d1as7b1	1as7	B	['4-166']	PF07732
23107	b.6.1.3	d1as7c2	1as7	C	['167-340']	PF07732
23106	b.6.1.3	d1as7c1	1as7	C	['4-166']	PF07732
23075	b.6.1.3	d1as8a2	1as8	A	['167-339']	PF07732
23074	b.6.1.3	d1as8a1	1as8	A	['4-166']	PF07732
23077	b.6.1.3	d1as8b2	1as8	B	['167-339']	PF07732
23076	b.6.1.3	d1as8b1	1as8	B	['4-166']	PF07732
23079	b.6.1.3	d1as8c2	1as8	C	['167-339']	PF07732
23078	b.6.1.3	d1as8c1	1as8	C	['4-166']	PF07732
34309	c.67.1.1	d1asaa_	1asa	A	[]	PF00155
34336	c.67.1.1	d1asba_	1asb	A	[]	PF00155
34330	c.67.1.1	d1asca_	1asc	A	[]	PF00155
34292	c.67.1.1	d1asda_	1asd	A	[]	PF00155
34325	c.67.1.1	d1asea_	1ase	A	[]	PF00155
34345	c.67.1.1	d1asfa_	1asf	A	[]	PF00155
34335	c.67.1.1	d1asga_	1asg	A	[]	PF00155
15622	a.1.1.2	d1asha_	1ash	A	[]	PF00042
38094	d.17.4.2	d1aska_	1ask	A	[]	PF02136
38095	d.17.4.2	d1askb_	1ask	B	[]	PF02136
34333	c.67.1.1	d1asla_	1asl	A	[]	PF00155
34334	c.67.1.1	d1aslb_	1asl	B	[]	PF00155
34310	c.67.1.1	d1asma_	1asm	A	[]	PF00155
34311	c.67.1.1	d1asmb_	1asm	B	[]	PF00155
34326	c.67.1.1	d1asna_	1asn	A	[]	PF00155
34327	c.67.1.1	d1asnb_	1asn	B	[]	PF00155
23132	b.6.1.3	d1asoa3	1aso	A	['339-552']	PF07732
23131	b.6.1.3	d1asoa2	1aso	A	['130-338']	PF07732
23130	b.6.1.3	d1asoa1	1aso	A	['1-129']	PF07732
23135	b.6.1.3	d1asob3	1aso	B	['339-552']	PF07732
23134	b.6.1.3	d1asob2	1aso	B	['130-338']	PF07732
23133	b.6.1.3	d1asob1	1aso	B	['1-129']	PF07732
23144	b.6.1.3	d1aspa3	1asp	A	['339-552']	PF07732
23143	b.6.1.3	d1aspa2	1asp	A	['130-338']	PF07732
23142	b.6.1.3	d1aspa1	1asp	A	['1-129']	PF07732
23147	b.6.1.3	d1aspb3	1asp	B	['339-552']	PF07732
23146	b.6.1.3	d1aspb2	1asp	B	['130-338']	PF07732
23145	b.6.1.3	d1aspb1	1asp	B	['1-129']	PF07732
23138	b.6.1.3	d1asqa3	1asq	A	['339-552']	PF07732
23137	b.6.1.3	d1asqa2	1asq	A	['130-338']	PF07732
23136	b.6.1.3	d1asqa1	1asq	A	['1-129']	PF07732
23141	b.6.1.3	d1asqb3	1asq	B	['339-552']	PF07732
23140	b.6.1.3	d1asqb2	1asq	B	['130-338']	PF07732
23139	b.6.1.3	d1asqb1	1asq	B	['1-129']	PF07732
40310	d.92.1.8	d1asta_	1ast	A	[]	PF01400
33626	c.55.3.2	d1asua_	1asu	A	[]	PF00665
33634	c.55.3.2	d1asva_	1asv	A	[]	PF00665
33627	c.55.3.2	d1aswa_	1asw	A	[]	PF00665
25242	b.40.4.1	d1asya1	1asy	A	['68-204']	PF01336
40763	d.104.1.1	d1asya2	1asy	A	['205-557']	PF01336
25243	b.40.4.1	d1asyb1	1asy	B	['68-204']	PF01336
40764	d.104.1.1	d1asyb2	1asy	B	['205-557']	PF01336
25240	b.40.4.1	d1asza1	1asz	A	['68-204']	PF01336
40761	d.104.1.1	d1asza2	1asz	A	['205-557']	PF01336
25241	b.40.4.1	d1aszb1	1asz	B	['68-204']	PF01336
40762	d.104.1.1	d1aszb2	1asz	B	['205-557']	PF01336
35168	c.78.1.1	d1at1a1	1at1	A	['1-150']	PF02729
35169	c.78.1.1	d1at1a2	1at1	A	['151-310']	PF02729
39049	d.58.2.1	d1at1b1	1at1	B	['8-100']	PF01948
35170	c.78.1.1	d1at1c1	1at1	C	['1-150']	PF02729
35171	c.78.1.1	d1at1c2	1at1	C	['151-310']	PF02729
39050	d.58.2.1	d1at1d1	1at1	D	['8-100']	PF01948
36334	d.2.1.2	d1at5a_	1at5	A	[]	PF00062
36333	d.2.1.2	d1at6a_	1at6	A	[]	PF00062
35834	c.94.1.1	d1atga_	1atg	A	[]	PF13531
33196	c.51.1.1	d1atia1	1ati	A	['395-505']	PF00587
40745	d.104.1.1	d1atia2	1ati	A	['1-394']	PF00587
33197	c.51.1.1	d1atib1	1ati	B	['395-505']	PF00587
40746	d.104.1.1	d1atib2	1ati	B	['1-394']	PF00587
18679	a.93.1.1	d1atja_	1atj	A	[]	PF00141
18680	a.93.1.1	d1atjb_	1atj	B	[]	PF00141
18681	a.93.1.1	d1atjc_	1atj	C	[]	PF00141
18682	a.93.1.1	d1atjd_	1atj	D	[]	PF00141
